step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
40,0.8000000000000004,94.38234964275236,0.0,0.0,-4.0372067324296665,4.0372067324296665,798.028360535233,1.0
41,0.8200000000000004,94.3046897556515,0.0,0.0,-3.8829943550434898,3.8829943550434898,797.978360535233,1.0
42,0.8400000000000004,94.23011429144829,0.0,0.0,-3.7287732101605195,3.7287732101605195,797.9283605352331,1.0
43,0.8600000000000004,94.15862342550145,0.0,0.0,-3.5745432973419264,3.5745432973419264,797.8783605352331,1.0
44,0.8800000000000004,94.09021733317847,0.0,0.0,-3.4203046161488486,3.4203046161488486,797.8283605352332,1.0
45,0.9000000000000005,94.02489618985562,0.0,0.0,-3.26605716614239,3.26605716614239,797.7783605352332,1.0
46,0.9200000000000005,93.96266017091796,0.0,0.0,-3.111800946883623,3.111800946883623,797.7283605352333,1.0
47,0.9400000000000005,93.90350945175929,0.0,0.0,-2.9575359579335863,2.9575359579335863,797.6783605352333,1.0
48,0.9600000000000005,93.84744420778223,0.0,0.0,-2.8032621988532855,2.8032621988532855,797.6283605352334,1.0
49,0.9800000000000005,93.79446461439815,0.0,0.0,-2.6489796692036935,2.6489796692036935,797.5783605352334,1.0
50,1.0000000000000004,93.74457084702723,0.0,0.0,-2.4946883685457504,2.4946883685457504,797.5283605352334,1.0
51,1.0200000000000005,93.69776308109843,0.0,0.0,-2.340388296440363,2.340388296440363,797.4783605352335,1.0
52,1.0400000000000005,93.65404149204946,0.0,0.0,-2.186079452448405,2.186079452448405,797.4283605352335,1.0
53,1.0600000000000005,93.61340625532685,0.0,0.0,-2.031761836130718,2.031761836130718,797.3783605352336,1.0
54,1.0800000000000005,93.57585754638589,0.0,0.0,-1.8774354470481094,1.8774354470481094,797.3283605352336,1.0
55,1.1000000000000005,93.54139554069066,0.0,0.0,-1.7231002847613546,1.7231002847613546,797.2783605352337,1.0
56,1.1200000000000006,93.51002041371403,0.0,0.0,-1.5687563488311955,1.5687563488311955,797.2283605352337,1.0
57,1.1400000000000006,93.48173234093767,0.0,0.0,-1.4144036388183414,1.4144036388183414,797.1783605352338,1.0
58,1.1600000000000006,93.456531497852,0.0,0.0,-1.260042154283468,1.260042154283468,797.1283605352338,1.0
59,1.1800000000000006,93.43441805995626,0.0,0.0,-1.1056718947872188,1.1056718947872188,797.0783605352339,1.0
60,1.2000000000000006,93.41539220275845,0.0,0.0,-0.9512928598902035,0.9512928598902035,797.0283605352339,1.0
61,1.2200000000000006,93.39945410177539,0.0,0.0,-0.7969050491529992,0.7969050491529992,796.978360535234,1.0
62,1.2400000000000007,93.38660393253267,0.0,0.0,-0.6425084621361501,0.6425084621361501,796.928360535234,1.0
63,1.2600000000000007,93.37684187056466,0.0,0.0,-0.4881030984001671,0.4881030984001671,796.878360535234,1.0
64,1.2800000000000007,93.37016809141456,0.0,0.0,-0.3336889575055283,0.3336889575055283,796.8283605352341,1.0
65,1.3000000000000007,93.3665827706343,0.0,0.0,-0.17926603901267865,0.17926603901267865,796.7783605352341,1.0
66,1.3200000000000007,93.36608608378465,0.0,0.0,-0.02483434248203023,0.02483434248203023,796.7283605352342,1.0
67,1.3400000000000007,93.36867820643518,0.0,0.0,0.12960613252603806,0.12960613252603806,796.6783605352342,1.0
68,1.3600000000000008,93.3743593141642,0.0,0.0,0.2840553864511802,0.2840553864511802,796.6283605352343,1.0
69,1.3800000000000008,93.38312958255885,0.0,0.0,0.4385134197330834,0.4385134197330834,796.5783605352343,1.0
70,1.4000000000000008,93.39498918721507,0.0,0.0,0.5929802328114676,0.5929802328114676,796.5283605352344,1.0
71,1.4200000000000008,93.40993830373759,0.0,0.0,0.7474558261260862,0.7474558261260862,796.4783605352344,1.0
72,1.4400000000000008,93.42797710773992,0.0,0.0,0.9019402001167252,0.9019402001167252,796.4283605352344,1.0
73,1.4600000000000009,93.44910577484438,0.0,0.0,1.056433355223204,1.056433355223204,796.3783605352345,1.0
74,1.4800000000000009,93.4733244806821,0.0,0.0,1.2109352918853746,1.2109352918853746,796.3283605352345,1.0
75,1.5000000000000009,93.50063340089295,0.0,0.0,1.3654460105431225,1.3654460105431225,796.2783605352346,1.0
