step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
0,0.0,100.0,0.0,0.0,-10.0,10.0,800.0,0.0
1,0.02,99.79607734,0.0,0.0,-10.196133,10.196133,800.0,0.0
2,0.04,99.58823201999999,0.0,0.0,-10.392266,10.392266,800.0,0.0
3,0.06,99.37646403999999,0.0,0.0,-10.588398999999999,10.588398999999999,800.0,0.0
4,0.08,99.16077339999998,0.0,0.0,-10.784531999999999,10.784531999999999,800.0,0.0
5,0.1,98.94116009999998,0.0,0.0,-10.980664999999998,10.980664999999998,800.0,0.0
6,0.12000000000000001,98.71762413999997,0.0,0.0,-11.176797999999998,11.176797999999998,800.0,0.0
7,0.14,98.49016551999998,0.0,0.0,-11.372930999999998,11.372930999999998,800.0,0.0
8,0.16,98.25878423999998,0.0,0.0,-11.569063999999997,11.569063999999997,800.0,0.0
9,0.18,98.02348029999999,0.0,0.0,-11.765196999999997,11.765196999999997,800.0,0.0
10,0.19999999999999998,97.7842537,0.0,0.0,-11.961329999999997,11.961329999999997,800.0,0.0
11,0.21999999999999997,97.54110444,0.0,0.0,-12.157462999999996,12.157462999999996,800.0,0.0
12,0.23999999999999996,97.29403252,0.0,0.0,-12.353595999999996,12.353595999999996,800.0,0.0
13,0.25999999999999995,97.04303794,0.0,0.0,-12.549728999999996,12.549728999999996,800.0,0.0
14,0.27999999999999997,96.78812070000001,0.0,0.0,-12.745861999999995,12.745861999999995,800.0,0.0
15,0.3,96.52928080000001,0.0,0.0,-12.941994999999995,12.941994999999995,800.0,0.0
16,0.32,96.26651824000001,0.0,0.0,-13.138127999999995,13.138127999999995,800.0,0.0
17,0.34,95.99983302000001,0.0,0.0,-13.334260999999994,13.334260999999994,800.0,0.0
18,0.36000000000000004,95.72922514000001,0.0,0.0,-13.530393999999994,13.530393999999994,800.0,0.0
19,0.38000000000000006,95.45469460000001,0.0,0.0,-13.726526999999994,13.726526999999994,800.0,0.0
20,0.4000000000000001,95.17624140000001,0.0,0.0,-13.922659999999993,13.922659999999993,800.0,0.0
21,0.4200000000000001,94.89386554000001,0.0,0.0,-14.118792999999993,14.118792999999993,800.0,0.0
22,0.4400000000000001,94.60756702,0.0,0.0,-14.314925999999993,14.314925999999993,800.0,0.0
23,0.46000000000000013,94.31734584,0.0,0.0,-14.511058999999992,14.511058999999992,800.0,0.0
24,0.48000000000000015,94.023202,0.0,0.0,-14.707191999999992,14.707191999999992,800.0,0.0
25,0.5000000000000001,93.7251355,0.0,0.0,-14.903324999999992,14.903324999999992,800.0,0.0
26,0.5200000000000001,93.42314633999999,0.0,0.0,-15.099457999999991,15.099457999999991,800.0,0.0
27,0.5400000000000001,93.11723451999998,0.0,0.0,-15.295590999999991,15.295590999999991,800.0,0.0
28,0.5600000000000002,92.80740003999998,0.0,0.0,-15.49172399999999,15.49172399999999,800.0,0.0
29,0.5800000000000002,92.49364289999998,0.0,0.0,-15.68785699999999,15.68785699999999,800.0,0.0
30,0.6000000000000002,92.17596309999999,0.0,0.0,-15.88398999999999,15.88398999999999,800.0,0.0
31,0.6200000000000002,91.85436064,0.0,0.0,-16.08012299999999,16.08012299999999,800.0,0.0
32,0.6400000000000002,91.52883552,0.0,0.0,-16.27625599999999,16.27625599999999,800.0,0.0
33,0.6600000000000003,91.19938774,0.0,0.0,-16.47238899999999,16.47238899999999,800.0,0.0
34,0.6800000000000003,90.86601730000001,0.0,0.0,-16.66852199999999,16.66852199999999,800.0,0.0
35,0.7000000000000003,90.52872420000001,0.0,0.0,-16.86465499999999,16.86465499999999,800.0,0.0
36,0.7200000000000003,90.18750844000002,0.0,0.0,-17.060787999999988,17.060787999999988,800.0,0.0
37,0.7400000000000003,89.84237002000002,0.0,0.0,-17.256920999999988,17.256920999999988,800.0,0.0
38,0.7600000000000003,89.49330894000002,0.0,0.0,-17.453053999999987,17.453053999999987,800.0,0.0
39,0.7800000000000004,89.14032520000002,0.0,0.0,-17.649186999999987,17.649186999999987,800.0,0.0
40,0.8000000000000004,88.78341880000002,0.0,0.0,-17.845319999999987,17.845319999999987,800.0,0.0
41,0.8200000000000004,88.42258974000002,0.0,0.0,-18.041452999999986,18.041452999999986,800.0,0.0
42,0.8400000000000004,88.05783802000002,0.0,0.0,-18.237585999999986,18.237585999999986,800.0,0.0
43,0.8600000000000004,87.68916364000002,0.0,0.0,-18.433718999999986,18.433718999999986,800.0,0.0
44,0.8800000000000004,87.31656660000002,0.0,0.0,-18.629851999999985,18.629851999999985,800.0,0.0
45,0.9000000000000005,86.94004690000001,0.0,0.0,-18.825984999999985,18.825984999999985,800.0,0.0
46,0.9200000000000005,86.55960454000001,0.0,0.0,-19.022117999999985,19.022117999999985,800.0,0.0
47,0.9400000000000005,86.17523952,0.0,0.0,-19.218250999999984,19.218250999999984,800.0,0.0
48,0.9600000000000005,85.78695184,0.0,0.0,-19.414383999999984,19.414383999999984,800.0,0.0
49,0.9800000000000005,85.3947415,0.0,0.0,-19.610516999999984,19.610516999999984,800.0,0.0
50,1.0000000000000004,84.99860849999999,0.0,0.0,-19.806649999999983,19.806649999999983,800.0,0.0
51,1.0200000000000005,84.59855283999998,0.0,0.0,-20.002782999999983,20.002782999999983,800.0,0.0
52,1.0400000000000005,84.19457451999999,0.0,0.0,-20.198915999999983,20.198915999999983,800.0,0.0
53,1.0600000000000005,83.78667354,0.0,0.0,-20.395048999999982,20.395048999999982,800.0,0.0
54,1.0800000000000005,83.3748499,0.0,0.0,-20.591181999999982,20.591181999999982,800.0,0.0
55,1.1000000000000005,82.9591036,0.0,0.0,-20.787314999999982,20.787314999999982,800.0,0.0
56,1.1200000000000006,82.53943464000001,0.0,0.0,-20.98344799999998,20.98344799999998,800.0,0.0
57,1.1400000000000006,82.11584302000001,0.0,0.0,-21.17958099999998,21.17958099999998,800.0,0.0
58,1.1600000000000006,81.68832874000002,0.0,0.0,-21.37571399999998,21.37571399999998,800.0,0.0
59,1.1800000000000006,81.25689180000002,0.0,0.0,-21.57184699999998,21.57184699999998,800.0,0.0
60,1.2000000000000006,80.82153220000002,0.0,0.0,-21.76797999999998,21.76797999999998,800.0,0.0
61,1.2200000000000006,80.38224994000002,0.0,0.0,-21.96411299999998,21.96411299999998,800.0,0.0
62,1.2400000000000007,79.93904502000002,0.0,0.0,-22.16024599999998,22.16024599999998,800.0,0.0
63,1.2600000000000007,79.49191744000002,0.0,0.0,-22.35637899999998,22.35637899999998,800.0,0.0
64,1.2800000000000007,79.04086720000002,0.0,0.0,-22.55251199999998,22.55251199999998,800.0,0.0
65,1.3000000000000007,78.58589430000002,0.0,0.0,-22.74864499999998,22.74864499999998,800.0,0.0
66,1.3200000000000007,78.12699874000002,0.0,0.0,-22.944777999999978,22.944777999999978,800.0,0.0
67,1.3400000000000007,77.66418052000002,0.0,0.0,-23.140910999999978,23.140910999999978,800.0,0.0
68,1.3600000000000008,77.19743964000001,0.0,0.0,-23.337043999999977,23.337043999999977,800.0,0.0
69,1.3800000000000008,76.72677610000001,0.0,0.0,-23.533176999999977,23.533176999999977,800.0,0.0
70,1.4000000000000008,76.2521899,0.0,0.0,-23.729309999999977,23.729309999999977,800.0,0.0
71,1.4200000000000008,75.77368104,0.0,0.0,-23.925442999999976,23.925442999999976,800.0,0.0
72,1.4400000000000008,75.29124952,0.0,0.0,-24.121575999999976,24.121575999999976,800.0,0.0
73,1.4600000000000009,74.80489533999999,0.0,0.0,-24.317708999999976,24.317708999999976,800.0,0.0
74,1.4800000000000009,74.3146185,0.0,0.0,-24.513841999999975,24.513841999999975,800.0,0.0
75,1.5000000000000009,73.820419,0.0,0.0,-24.709974999999975,24.709974999999975,800.0,0.0
76,1.520000000000001,73.32229684,0.0,0.0,-24.906107999999975,24.906107999999975,800.0,0.0
77,1.540000000000001,72.82025202000001,0.0,0.0,-25.102240999999974,25.102240999999974,800.0,0.0
78,1.560000000000001,72.31428454000002,0.0,0.0,-25.298373999999974,25.298373999999974,800.0,0.0
79,1.580000000000001,71.80439440000002,0.0,0.0,-25.494506999999974,25.494506999999974,800.0,0.0
80,1.600000000000001,71.29058160000002,0.0,0.0,-25.690639999999973,25.690639999999973,800.0,0.0
81,1.620000000000001,70.77284614000003,0.0,0.0,-25.886772999999973,25.886772999999973,800.0,0.0
82,1.640000000000001,70.25118802000003,0.0,0.0,-26.082905999999973,26.082905999999973,800.0,0.0
83,1.660000000000001,69.72560724000003,0.0,0.0,-26.279038999999973,26.279038999999973,800.0,0.0
84,1.680000000000001,69.19610380000003,0.0,0.0,-26.475171999999972,26.475171999999972,800.0,0.0
85,1.700000000000001,68.66267770000003,0.0,0.0,-26.671304999999972,26.671304999999972,800.0,0.0
86,1.720000000000001,68.12532894000003,0.0,0.0,-26.86743799999997,26.86743799999997,800.0,0.0
87,1.740000000000001,67.58405752000003,0.0,0.0,-27.06357099999997,27.06357099999997,800.0,0.0
88,1.7600000000000011,67.03886344000003,0.0,0.0,-27.25970399999997,27.25970399999997,800.0,0.0
89,1.7800000000000011,66.48974670000003,0.0,0.0,-27.45583699999997,27.45583699999997,800.0,0.0
